Local time,Open,High,Low,Close,Volume
04.12.2013 07:00:00.000 GMT+0900,168.004,168.219,167.509,167.721,27241.75
04.12.2013 11:00:00.000 GMT+0900,167.718,168.2,167.688,167.968,27235.43
04.12.2013 15:00:00.000 GMT+0900,167.968,168.389,167.547,167.848,37347.38
04.12.2013 19:00:00.000 GMT+0900,167.849,167.924,167.398,167.556,38040.01
04.12.2013 23:00:00.000 GMT+0900,167.551,167.939,167.199,167.307,52008.98
05.12.2013 03:00:00.000 GMT+0900,167.305,167.689,166.874,167.689,28137.02
05.12.2013 07:00:00.000 GMT+0900,167.689,167.774,167.347,167.542,14258.3
05.12.2013 11:00:00.000 GMT+0900,167.542,167.67,167.143,167.235,15512.95
05.12.2013 15:00:00.000 GMT+0900,167.235,167.384,166.971,167.07,29981.39
05.12.2013 19:00:00.000 GMT+0900,167.07,167.089,166.622,166.945,36250.8
05.12.2013 23:00:00.000 GMT+0900,166.949,167.082,165.87,166.159,53187.44
06.12.2013 03:00:00.000 GMT+0900,166.159,166.334,165.965,166.255,24573.66
06.12.2013 07:00:00.000 GMT+0900,166.267,166.594,166.013,166.384,16301.58
06.12.2013 11:00:00.000 GMT+0900,166.384,166.741,166.241,166.699,19170.13
06.12.2013 15:00:00.000 GMT+0900,166.699,167.229,166.609,167.097,23383.75
06.12.2013 19:00:00.000 GMT+0900,167.097,167.988,166.954,167.827,33443.05
06.12.2013 23:00:00.000 GMT+0900,167.824,168.254,167.754,168.073,49166.09
07.12.2013 03:00:00.000 GMT+0900,168.074,168.254,168.0,168.184,14981.52
07.12.2013 07:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
07.12.2013 11:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
07.12.2013 15:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
07.12.2013 19:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
07.12.2013 23:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 03:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 07:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 11:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 15:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 19:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
08.12.2013 23:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
09.12.2013 03:00:00.000 GMT+0900,168.184,168.184,168.184,168.184,0.0
09.12.2013 07:00:00.000 GMT+0900,168.384,168.724,168.121,168.354,18299.95
09.12.2013 11:00:00.000 GMT+0900,168.354,168.544,168.124,168.529,10706.02
09.12.2013 15:00:00.000 GMT+0900,168.53,168.993,168.394,168.795,23181.92
09.12.2013 19:00:00.000 GMT+0900,168.799,168.932,168.6,168.787,20107.34
09.12.2013 23:00:00.000 GMT+0900,168.787,169.536,168.746,169.386,34161.92
10.12.2013 03:00:00.000 GMT+0900,169.389,169.729,169.338,169.644,16609.63
10.12.2013 07:00:00.000 GMT+0900,169.644,169.776,169.504,169.671,15470.14
10.12.2013 11:00:00.000 GMT+0900,169.674,170.043,169.634,170.001,14751.25
10.12.2013 15:00:00.000 GMT+0900,170.004,170.059,169.365,169.639,26784.9
10.12.2013 19:00:00.000 GMT+0900,169.642,169.792,168.921,169.104,27990.15
10.12.2013 23:00:00.000 GMT+0900,169.102,169.159,168.676,168.955,31950.17
11.12.2013 03:00:00.000 GMT+0900,168.955,169.139,168.754,169.119,15458.99
11.12.2013 07:00:00.000 GMT+0900,169.117,169.354,168.899,169.052,12461.01
11.12.2013 11:00:00.000 GMT+0900,169.052,169.097,168.664,168.9,13505.97
11.12.2013 15:00:00.000 GMT+0900,168.901,168.914,168.009,168.069,27358.28
11.12.2013 19:00:00.000 GMT+0900,168.069,168.342,167.815,168.339,23724.11
11.12.2013 23:00:00.000 GMT+0900,168.337,168.414,167.529,167.884,39588.33
12.12.2013 03:00:00.000 GMT+0900,167.882,168.204,167.624,167.712,18772.28
12.12.2013 07:00:00.000 GMT+0900,167.724,168.137,167.671,168.11,12859.37
12.12.2013 11:00:00.000 GMT+0900,168.109,168.114,167.639,167.854,12452.12
12.12.2013 15:00:00.000 GMT+0900,167.854,168.923,167.832,168.675,25952.73
12.12.2013 19:00:00.000 GMT+0900,168.674,168.731,168.345,168.473,31179.79
12.12.2013 23:00:00.000 GMT+0900,168.469,168.589,168.15,168.421,40882.0
13.12.2013 03:00:00.000 GMT+0900,168.421,169.076,168.391,168.996,20072.74
13.12.2013 07:00:00.000 GMT+0900,168.989,169.39,168.95,169.279,20731.22
13.12.2013 11:00:00.000 GMT+0900,169.269,169.816,169.234,169.559,20810.95
13.12.2013 15:00:00.000 GMT+0900,169.564,169.574,168.996,169.059,26623.74
13.12.2013 19:00:00.000 GMT+0900,169.059,169.124,167.935,168.024,36580.75
13.12.2013 23:00:00.000 GMT+0900,168.024,168.315,167.707,168.212,36224.75
14.12.2013 03:00:00.000 GMT+0900,168.214,168.324,167.852,168.135,12581.41
14.12.2013 07:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
14.12.2013 11:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
14.12.2013 15:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
14.12.2013 19:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
14.12.2013 23:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 03:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 07:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 11:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 15:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 19:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
15.12.2013 23:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
16.12.2013 03:00:00.000 GMT+0900,168.135,168.135,168.135,168.135,0.0
16.12.2013 07:00:00.000 GMT+0900,168.305,168.399,167.839,167.899,10921.39
16.12.2013 11:00:00.000 GMT+0900,167.899,168.04,167.344,167.494,17546.4
16.12.2013 15:00:00.000 GMT+0900,167.495,168.438,167.484,168.119,24310.46
16.12.2013 19:00:00.000 GMT+0900,168.116,168.424,167.825,167.989,25320.53
16.12.2013 23:00:00.000 GMT+0900,167.989,168.144,167.731,167.898,31443.63
17.12.2013 03:00:00.000 GMT+0900,167.898,168.035,167.805,167.875,12067.88
17.12.2013 07:00:00.000 GMT+0900,167.875,168.098,167.811,168.068,8304.54
17.12.2013 11:00:00.000 GMT+0900,168.064,168.171,167.926,168.084,8356.74
17.12.2013 15:00:00.000 GMT+0900,168.084,168.154,167.628,167.79,18646.32
17.12.2013 19:00:00.000 GMT+0900,167.79,167.899,167.393,167.656,24941.68
17.12.2013 23:00:00.000 GMT+0900,167.655,167.678,166.58,166.982,36855.06
18.12.2013 03:00:00.000 GMT+0900,166.982,167.078,166.843,166.957,13773.35
18.12.2013 07:00:00.000 GMT+0900,166.94,167.506,166.868,167.475,13949.19
18.12.2013 11:00:00.000 GMT+0900,167.476,167.776,167.439,167.695,12570.8
18.12.2013 15:00:00.000 GMT+0900,167.695,168.349,167.53,168.259,24778.37
18.12.2013 19:00:00.000 GMT+0900,168.274,168.81,168.269,168.739,25143.53
18.12.2013 23:00:00.000 GMT+0900,168.742,169.366,168.727,169.011,31021.55
19.12.2013 03:00:00.000 GMT+0900,169.005,171.186,168.283,170.91,54838.68
19.12.2013 07:00:00.000 GMT+0900,170.902,171.063,170.292,170.307,18927.86
19.12.2013 11:00:00.000 GMT+0900,170.307,170.513,169.909,170.492,15966.19
19.12.2013 15:00:00.000 GMT+0900,170.492,170.5,170.072,170.344,24846.83
19.12.2013 19:00:00.000 GMT+0900,170.34,170.755,170.138,170.374,31718.66
19.12.2013 23:00:00.000 GMT+0900,170.369,170.696,170.18,170.504,32161.6
20.12.2013 03:00:00.000 GMT+0900,170.504,170.721,170.453,170.629,13921.92
